Well ID,Name,Well,PC_100,chlA_150,Reading Date/Time
BLK,,B1,0.75,18.8,11/4/2021 11:10
,,E1,0.8,19.3,
,,B8,0.25,17.8,
,,E8,1.25,6.63,
SPL1,,B2,201,1873,11/4/2021 11:10
SPL2,,C2,453,2200,11/4/2021 11:10
SPL3,,D2,56.4,240,11/4/2021 11:10
SPL4,,E2,64.1,317,11/4/2021 11:10
SPL5,,B3,17,1563,11/4/2021 11:10
SPL6,,C3,128,2053,11/4/2021 11:10
SPL7,,D3,189,1679,11/4/2021 11:10
SPL8,,E3,218,1475,11/4/2021 11:10
SPL9,,B4,2.32,27.9,11/4/2021 11:10
SPL10,,C4,1.75,32,11/4/2021 11:10
SPL11,,D4,0.5,17.1,11/4/2021 11:10
SPL12,,E4,3,41.5,11/4/2021 11:10
SPL13,,B5,2.56,22.3,11/4/2021 11:10
SPL14,,C5,2,32.9,11/4/2021 11:10
SPL15,,D5,2.13,25.8,11/4/2021 11:10
SPL16,,E5,1.94,31.3,11/4/2021 11:10
SPL17,,B6,3.86,202,11/4/2021 11:10
SPL18,,C6,5.25,165,11/4/2021 11:10
SPL19,,D6,16.9,297,11/4/2021 11:10
SPL20,,E6,5.31,211,11/4/2021 11:10
SPL21,,B7,8.75,201,11/4/2021 11:10
SPL22,,C7,1.44,116,11/4/2021 11:10
SPL23,,D7,0.417,103,11/4/2021 11:10
SPL24,,E7,58.8,229,11/4/2021 11:10
